Ions	Strain	Values	SE	Top_annotation_name
409	Lapi	-0.940586678	0.133855938	Xanthosine
409	Lkul	-0.757013851	0.108614932	Xanthosine
411	Lhel	-0.830612905	0.150201474	"2-Methoxy-5Z-hexadecenoic_acid;_2-Methoxy-6Z-hexadecenoic_acid;_12-(2,3-Dih..."
411	Lmel	-1.023934883	0.061019547	"2-Methoxy-5Z-hexadecenoic_acid;_2-Methoxy-6Z-hexadecenoic_acid;_12-(2,3-Dih..."
411	Lapi	-0.754818988	0.117272665	"2-Methoxy-5Z-hexadecenoic_acid;_2-Methoxy-6Z-hexadecenoic_acid;_12-(2,3-Dih..."
411	Lkul	-0.736780989	0.12405665	"2-Methoxy-5Z-hexadecenoic_acid;_2-Methoxy-6Z-hexadecenoic_acid;_12-(2,3-Dih..."
415	Lhel	0.779968864	0.257737373	Luteolin;_Kaempferol;_Aureusidin;_Maritimetin;_Datiscetin;_Fisetin;_Isoscut...
415	Lmel	4.543260628	0.602639439	Luteolin;_Kaempferol;_Aureusidin;_Maritimetin;_Datiscetin;_Fisetin;_Isoscut...
415	Lapi	4.623151669	0.331695062	Luteolin;_Kaempferol;_Aureusidin;_Maritimetin;_Datiscetin;_Fisetin;_Isoscut...
415	Lkul	3.554236883	0.605479626	Luteolin;_Kaempferol;_Aureusidin;_Maritimetin;_Datiscetin;_Fisetin;_Isoscut...
417	Lhel	0.662459945	0.046089568	Sulmazole
417	Lmel	1.423755062	0.178403947	Sulmazole
417	Lapi	1.507173876	0.165510613	Sulmazole
417	Lkul	1.08752381	0.116182688	Sulmazole
422	Lhel	1.486252234	0.127503879	"5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene"
422	Lmel	1.387206163	0.119564226	"5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene"
422	Lapi	1.507843993	0.111624305	"5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene"
422	Lkul	1.452066165	0.179257591	"5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene"
429	Lhel	-1.030086096	0.118087817	"(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic_acid;_8-[(1R,2R)-3-Oxo-2-{(Z)-p..."
429	Lmel	-1.369290339	0.093806411	"(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic_acid;_8-[(1R,2R)-3-Oxo-2-{(Z)-p..."
429	Lapi	-1.02667742	0.213888168	"(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic_acid;_8-[(1R,2R)-3-Oxo-2-{(Z)-p..."
429	Lkul	-1.011508991	0.154658995	"(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic_acid;_8-[(1R,2R)-3-Oxo-2-{(Z)-p..."
430	Lhel	-1.553504543	0.258027814	"(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic_acid;_Vernolic_acid;_13(S)-HODE;..."
430	Lmel	-2.536865853	0.134037294	"(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic_acid;_Vernolic_acid;_13(S)-HODE;..."
430	Lapi	-1.475711877	0.283976612	"(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic_acid;_Vernolic_acid;_13(S)-HODE;..."
430	Lkul	-2.196145034	0.251859071	"(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic_acid;_Vernolic_acid;_13(S)-HODE;..."
431	Lhel	-0.342040105	0.089631591	Albendazole_sulfone;_6-Nitrobenzo[a]pyrene;_3-Nitroperylene
431	Lmel	-2.712245484	0.10423132	Albendazole_sulfone;_6-Nitrobenzo[a]pyrene;_3-Nitroperylene
431	Lapi	-2.705910006	0.148334903	Albendazole_sulfone;_6-Nitrobenzo[a]pyrene;_3-Nitroperylene
431	Lkul	-1.496038179	0.112827816	Albendazole_sulfone;_6-Nitrobenzo[a]pyrene;_3-Nitroperylene
435	Lhel	-1.280658518	0.222727088	"2-Oxooctadecanoic_acid;_Ricinoleic_acid;_(6R,7S)-6,7-Epoxyoctadecanoic_acid..."
435	Lmel	-1.778443705	0.127307484	"2-Oxooctadecanoic_acid;_Ricinoleic_acid;_(6R,7S)-6,7-Epoxyoctadecanoic_acid..."
435	Lapi	-1.215680904	0.253790794	"2-Oxooctadecanoic_acid;_Ricinoleic_acid;_(6R,7S)-6,7-Epoxyoctadecanoic_acid..."
435	Lkul	-0.996637622	0.336154513	"2-Oxooctadecanoic_acid;_Ricinoleic_acid;_(6R,7S)-6,7-Epoxyoctadecanoic_acid..."
438	Lhel	-0.684808388	0.069900455	Pseudopurpurin
438	Lmel	1.08524223	0.197329123	Pseudopurpurin
438	Lapi	0.526137929	0.193831016	Pseudopurpurin
438	Lkul	0.236456304	0.225304606	Pseudopurpurin
443	Lhel	1.405998972	0.07872395	(Ac)2-L-Lys-D-Ala
443	Lmel	1.746257094	0.136971725	(Ac)2-L-Lys-D-Ala
443	Lapi	1.691792919	0.100114026	(Ac)2-L-Lys-D-Ala
443	Lkul	1.503691361	0.071930659	(Ac)2-L-Lys-D-Ala
444	Lhel	1.999836528	0.341991916	Quercetin;_8-Hydroxykaempferol;_2'-Hydroxypseudobaptigenin;_Bracteatin;_6-H...
444	Lmel	5.194713197	0.842573211	Quercetin;_8-Hydroxykaempferol;_2'-Hydroxypseudobaptigenin;_Bracteatin;_6-H...
444	Lapi	5.181602272	0.287790083	Quercetin;_8-Hydroxykaempferol;_2'-Hydroxypseudobaptigenin;_Bracteatin;_6-H...
444	Lkul	3.860900105	0.881645445	Quercetin;_8-Hydroxykaempferol;_2'-Hydroxypseudobaptigenin;_Bracteatin;_6-H...
449	Lhel	-2.346076533	0.099927797	"3',5'-Cyclic_CMP;_2',3'-Cyclic_CMP"
449	Lmel	-1.89659019	0.188427618	"3',5'-Cyclic_CMP;_2',3'-Cyclic_CMP"
449	Lapi	-0.378740524	0.104293157	"3',5'-Cyclic_CMP;_2',3'-Cyclic_CMP"
449	Lkul	-1.225273853	0.089728561	"3',5'-Cyclic_CMP;_2',3'-Cyclic_CMP"
451	Lhel	-1.800322772	0.070338676	"2',3'-Cyclic_UMP"
451	Lmel	-1.705011639	0.166715429	"2',3'-Cyclic_UMP"
451	Lapi	-0.247405758	0.09798505	"2',3'-Cyclic_UMP"
451	Lkul	-0.679897777	0.103703088	"2',3'-Cyclic_UMP"
456	Lhel	0.397147731	0.101818033	Fructoselysine
456	Lmel	0.406112981	0.193541946	Fructoselysine
456	Lapi	0.364782495	0.106241994	Fructoselysine
456	Lkul	-1.168811739	0.086966007	Fructoselysine
459	Lhel	-2.205346108	0.071287759	N-Acetylneuraminate;_O-Acetylneuraminic_acid;_N-Acetyl-alpha-neuraminate;_N...
459	Lmel	-1.397290062	0.22430238	N-Acetylneuraminate;_O-Acetylneuraminic_acid;_N-Acetyl-alpha-neuraminate;_N...
459	Lapi	-1.608734845	0.215666148	N-Acetylneuraminate;_O-Acetylneuraminic_acid;_N-Acetyl-alpha-neuraminate;_N...
459	Lkul	-1.8558346	0.107935492	N-Acetylneuraminate;_O-Acetylneuraminic_acid;_N-Acetyl-alpha-neuraminate;_N...
460	Lhel	-0.258271499	0.077877691	Isopropalin
460	Lmel	-1.078657243	0.060992436	Isopropalin
460	Lapi	-0.287911193	0.079112782	Isopropalin
460	Lkul	-0.254826148	0.079602406	Isopropalin
467	Lhel	1.476559094	0.129623106	Malaoxon
467	Lmel	1.60414951	0.119944184	Malaoxon
467	Lapi	1.769053826	0.226643233	Malaoxon
467	Lkul	1.63034971	0.148502753	Malaoxon
471	Lhel	1.212164934	0.270010512	3-O-Methylquercetin;_Capillarisin;_Azaleatin;_Isorhamnetin;_Pedalitin;_Pino...
471	Lmel	4.356920069	0.466630923	3-O-Methylquercetin;_Capillarisin;_Azaleatin;_Isorhamnetin;_Pedalitin;_Pino...
471	Lapi	3.631172867	0.290720288	3-O-Methylquercetin;_Capillarisin;_Azaleatin;_Isorhamnetin;_Pedalitin;_Pino...
471	Lkul	2.968266334	0.365290335	3-O-Methylquercetin;_Capillarisin;_Azaleatin;_Isorhamnetin;_Pedalitin;_Pino...
473	Lhel	0.585689784	0.458484191	Gossypetin;_Myricetin;_Quercetagetin
473	Lmel	4.369024032	0.413082849	Gossypetin;_Myricetin;_Quercetagetin
473	Lapi	3.952168143	0.206897631	Gossypetin;_Myricetin;_Quercetagetin
473	Lkul	3.116135803	0.273786374	Gossypetin;_Myricetin;_Quercetagetin
482	Lhel	-1.284592642	0.0561958	CMP;_Cytidine_2'-phosphate;_3'-CMP
482	Lmel	-0.926368322	0.276585653	CMP;_Cytidine_2'-phosphate;_3'-CMP
482	Lapi	-0.44246723	0.073617407	CMP;_Cytidine_2'-phosphate;_3'-CMP
482	Lkul	-0.798733276	0.138728636	CMP;_Cytidine_2'-phosphate;_3'-CMP
493	Lhel	-3.283362144	0.068976397	"Mecarbam;_3',5'-Cyclic_AMP;_2',3'-Cyclic_AMP;_3',5'-Cyclic_dGMP"
493	Lmel	-3.182942944	0.188928682	"Mecarbam;_3',5'-Cyclic_AMP;_2',3'-Cyclic_AMP;_3',5'-Cyclic_dGMP"
493	Lapi	-0.272534662	0.06682201	"Mecarbam;_3',5'-Cyclic_AMP;_2',3'-Cyclic_AMP;_3',5'-Cyclic_dGMP"
493	Lkul	-1.496160629	0.084692946	"Mecarbam;_3',5'-Cyclic_AMP;_2',3'-Cyclic_AMP;_3',5'-Cyclic_dGMP"
499	Lhel	-0.057474372	0.124669978	Purine_mononucleotide;_2'-Deoxyinosine_5'-phosphate;_Corniculatusin;_Patule...
499	Lmel	1.967608996	0.185110225	Purine_mononucleotide;_2'-Deoxyinosine_5'-phosphate;_Corniculatusin;_Patule...
499	Lapi	1.632739552	0.191435754	Purine_mononucleotide;_2'-Deoxyinosine_5'-phosphate;_Corniculatusin;_Patule...
499	Lkul	1.194522243	0.119131306	Purine_mononucleotide;_2'-Deoxyinosine_5'-phosphate;_Corniculatusin;_Patule...
502	Lhel	0.182643711	0.233419503	"9,10,18-Trihydroxystearate"
502	Lmel	1.586626809	0.186137558	"9,10,18-Trihydroxystearate"
502	Lapi	-0.059389358	0.174537381	"9,10,18-Trihydroxystearate"
502	Lkul	0.12692066	0.114777494	"9,10,18-Trihydroxystearate"
509	Lhel	-0.345773566	0.092858417	Kyotorphin
509	Lmel	-1.30139411	0.140766002	Kyotorphin
509	Lapi	-0.640779242	0.088066461	Kyotorphin
509	Lkul	-0.355235689	0.071712162	Kyotorphin
520	Lhel	-1.149764452	0.123621645	Thiophanate-methyl
520	Lmel	-0.900174823	0.323473054	Thiophanate-methyl
520	Lapi	-1.045503119	0.112368522	Thiophanate-methyl
520	Lkul	-1.100858218	0.066283272	Thiophanate-methyl
521	Lhel	-0.345089159	0.047264542	"Sucrose;_Cellobiose;_Maltose;_Lactose;_Isomaltose;_alpha-Maltose;_alpha,alp..."
521	Lmel	-0.639102236	0.290322941	"Sucrose;_Cellobiose;_Maltose;_Lactose;_Isomaltose;_alpha-Maltose;_alpha,alp..."
521	Lapi	-2.797179909	0.147595318	"Sucrose;_Cellobiose;_Maltose;_Lactose;_Isomaltose;_alpha-Maltose;_alpha,alp..."
521	Lkul	-0.545739805	0.072622022	"Sucrose;_Cellobiose;_Maltose;_Lactose;_Isomaltose;_alpha-Maltose;_alpha,alp..."
525	Lhel	-2.16662196	0.066322448	"3',5'-Cyclic_GMP;_2',3'-Cyclic_GMP;_3'-Keto-3'-deoxy-AMP;_Adenosine_5'-phos..."
525	Lmel	-1.940228481	0.229282612	"3',5'-Cyclic_GMP;_2',3'-Cyclic_GMP;_3'-Keto-3'-deoxy-AMP;_Adenosine_5'-phos..."
525	Lapi	0.209087076	0.06267776	"3',5'-Cyclic_GMP;_2',3'-Cyclic_GMP;_3'-Keto-3'-deoxy-AMP;_Adenosine_5'-phos..."
525	Lkul	-0.484357478	0.099677829	"3',5'-Cyclic_GMP;_2',3'-Cyclic_GMP;_3'-Keto-3'-deoxy-AMP;_Adenosine_5'-phos..."
526	Lhel	0.307381024	0.104134338	Tomentin;_Taxifolin_3-O-acetate;_Axillarin;_Syringetin;_Eupatolitin;_Aflato...
526	Lmel	1.556136279	0.235379289	Tomentin;_Taxifolin_3-O-acetate;_Axillarin;_Syringetin;_Eupatolitin;_Aflato...
526	Lapi	1.283493901	0.161203058	Tomentin;_Taxifolin_3-O-acetate;_Axillarin;_Syringetin;_Eupatolitin;_Aflato...
526	Lkul	0.866590775	0.164675789	Tomentin;_Taxifolin_3-O-acetate;_Axillarin;_Syringetin;_Eupatolitin;_Aflato...
527	Lhel	1.588765825	0.239858441	Aucubin;_Deutzioside
527	Lmel	2.461539193	0.222727686	Aucubin;_Deutzioside
527	Lapi	1.378790589	0.26830844	Aucubin;_Deutzioside
527	Lkul	1.592342649	0.210738156	Aucubin;_Deutzioside
529	Lhel	-1.795936311	0.089448715	AMP;_dGMP;_Adenosine_2'-phosphate;_3'-AMP;_7-alpha-D-Ribosyladenine_5'-phos...
529	Lmel	-2.232637013	0.071188903	AMP;_dGMP;_Adenosine_2'-phosphate;_3'-AMP;_7-alpha-D-Ribosyladenine_5'-phos...
529	Lapi	-1.645112337	0.091398493	AMP;_dGMP;_Adenosine_2'-phosphate;_3'-AMP;_7-alpha-D-Ribosyladenine_5'-phos...
529	Lkul	-1.640550391	0.092234558	AMP;_dGMP;_Adenosine_2'-phosphate;_3'-AMP;_7-alpha-D-Ribosyladenine_5'-phos...
540	Lhel	-0.155560991	0.119399367	Leucyl-leucyl-norleucine
540	Lmel	-2.537160919	0.249252374	Leucyl-leucyl-norleucine
540	Lapi	-2.161856949	0.214331965	Leucyl-leucyl-norleucine
540	Lkul	-0.3736757	0.144537503	Leucyl-leucyl-norleucine
544	Lhel	-0.147866641	0.076114896	Antirrhinoside;_Catalpol
544	Lmel	-0.306552092	0.250841193	Antirrhinoside;_Catalpol
544	Lapi	-2.323298141	0.067630236	Antirrhinoside;_Catalpol
544	Lkul	-0.342357908	0.110566884	Antirrhinoside;_Catalpol
545	Lhel	-0.448095925	0.110370031	Clavamycin_B;_Clavamycin_C
545	Lmel	-0.488101955	0.081080849	Clavamycin_B;_Clavamycin_C
545	Lapi	-1.44734335	0.098922711	Clavamycin_B;_Clavamycin_C
545	Lkul	-0.348634008	0.081937372	Clavamycin_B;_Clavamycin_C
546	Lhel	-0.730514728	0.148690459	GMP;_Guanosine_3'-phosphate;_Precursor_Z;_8-Oxo-dGMP
546	Lmel	-1.098519753	0.152302814	GMP;_Guanosine_3'-phosphate;_Precursor_Z;_8-Oxo-dGMP
546	Lapi	-0.578760861	0.096024891	GMP;_Guanosine_3'-phosphate;_Precursor_Z;_8-Oxo-dGMP
546	Lkul	-0.627376638	0.174074109	GMP;_Guanosine_3'-phosphate;_Precursor_Z;_8-Oxo-dGMP
556	Lhel	0.033665965	0.093369344	(Ac)2-L-Lys-D-Ala-D-Ala
556	Lmel	-0.242872289	0.096110275	(Ac)2-L-Lys-D-Ala-D-Ala
556	Lapi	-1.202212053	0.08570383	(Ac)2-L-Lys-D-Ala-D-Ala
556	Lkul	0.104924277	0.086425575	(Ac)2-L-Lys-D-Ala-D-Ala
566	Lhel	-1.776882571	0.24531465	Chenodeoxycholate;_Deoxycholic_acid;_Ursodiol;_Murideoxycholic_acid;_Hyodeo...
566	Lmel	-2.103995925	0.261980433	Chenodeoxycholate;_Deoxycholic_acid;_Ursodiol;_Murideoxycholic_acid;_Hyodeo...
566	Lapi	-1.080889598	0.308516017	Chenodeoxycholate;_Deoxycholic_acid;_Ursodiol;_Murideoxycholic_acid;_Hyodeo...
566	Lkul	-1.757699243	0.161108256	Chenodeoxycholate;_Deoxycholic_acid;_Ursodiol;_Murideoxycholic_acid;_Hyodeo...
582	Lhel	-1.101113278	0.105730589	Nafoxidine
582	Lmel	-1.017649407	0.136966993	Nafoxidine
582	Lapi	-0.912902814	0.206689303	Nafoxidine
582	Lkul	-0.795978226	0.217162234	Nafoxidine
584	Lhel	0.045993107	0.13235281	Vitexin;_Isovitexin;_Apigenin_7-O-beta-D-glucoside;_Genistein_7-O-beta-D-gl...
584	Lmel	-2.243418945	0.154582747	Vitexin;_Isovitexin;_Apigenin_7-O-beta-D-glucoside;_Genistein_7-O-beta-D-gl...
584	Lapi	-2.505242005	0.143672781	Vitexin;_Isovitexin;_Apigenin_7-O-beta-D-glucoside;_Genistein_7-O-beta-D-gl...
584	Lkul	-0.251496579	0.108548425	Vitexin;_Isovitexin;_Apigenin_7-O-beta-D-glucoside;_Genistein_7-O-beta-D-gl...
585	Lhel	-0.504507886	0.161022093	Glycolithocholate
585	Lmel	-0.776705922	0.111719432	Glycolithocholate
585	Lapi	-1.154667689	0.255215725	Glycolithocholate
585	Lkul	-0.491798847	0.156887752	Glycolithocholate
588	Lhel	1.335485099	0.113720492	Quercitrin;_Isoorientin;_Luteolin_7-O-beta-D-glucoside;_Carthamone;_Fisetin...
588	Lmel	-1.903584456	0.250075648	Quercitrin;_Isoorientin;_Luteolin_7-O-beta-D-glucoside;_Carthamone;_Fisetin...
588	Lapi	-1.980364072	0.101655186	Quercitrin;_Isoorientin;_Luteolin_7-O-beta-D-glucoside;_Carthamone;_Fisetin...
588	Lkul	0.765431264	0.127642587	Quercitrin;_Isoorientin;_Luteolin_7-O-beta-D-glucoside;_Carthamone;_Fisetin...
591	Lhel	-0.284692406	0.062871754	Cefamandole
591	Lmel	-0.416969476	0.163895891	Cefamandole
591	Lapi	-1.373852172	0.127282331	Cefamandole
591	Lkul	-0.370431437	0.08952405	Cefamandole
593	Lhel	0.329656848	0.101842217	Quercetin_3-O-glucoside;_Gossypetin_8-rhamnoside;_Hyperin;_Myricitrin;_Quer...
593	Lmel	-1.987636953	0.247266333	Quercetin_3-O-glucoside;_Gossypetin_8-rhamnoside;_Hyperin;_Myricitrin;_Quer...
593	Lapi	-2.171817629	0.183423786	Quercetin_3-O-glucoside;_Gossypetin_8-rhamnoside;_Hyperin;_Myricitrin;_Quer...
593	Lkul	-0.120546927	0.096545674	Quercetin_3-O-glucoside;_Gossypetin_8-rhamnoside;_Hyperin;_Myricitrin;_Quer...
602	Lhel	1.766100434	0.127729583	Gossypin;_4-o-Galloylbergenin;_11-o-Galloylbergenin
602	Lmel	0.327230268	0.10565119	Gossypin;_4-o-Galloylbergenin;_11-o-Galloylbergenin
602	Lapi	0.18215769	0.081116958	Gossypin;_4-o-Galloylbergenin;_11-o-Galloylbergenin
602	Lkul	2.671463971	0.159508593	Gossypin;_4-o-Galloylbergenin;_11-o-Galloylbergenin
603	Lhel	-0.470618262	0.171852564	Taurolithocholate
603	Lmel	-1.051514666	0.17114944	Taurolithocholate
603	Lapi	-1.131321425	0.162129039	Taurolithocholate
603	Lkul	-0.619221482	0.162522332	Taurolithocholate
614	Lhel	-0.312188187	0.095348986	Uscharidin
614	Lmel	-1.255811559	0.135254335	Uscharidin
614	Lapi	-1.660553882	0.055474776	Uscharidin
614	Lkul	-0.94818644	0.065797092	Uscharidin
616	Lhel	-0.146425937	0.102191599	Luteolin_7-O-(6''-malonylglucoside)
616	Lmel	-1.520710171	0.317958531	Luteolin_7-O-(6''-malonylglucoside)
616	Lapi	0.801916159	0.146402695	Luteolin_7-O-(6''-malonylglucoside)
616	Lkul	0.838329402	0.138629838	Luteolin_7-O-(6''-malonylglucoside)
617	Lhel	-1.091041778	0.134371884	Novapikromyin
617	Lmel	-2.178225117	0.077695964	Novapikromyin
617	Lapi	-2.35088635	0.177220076	Novapikromyin
617	Lkul	-1.640872974	0.131126104	Novapikromyin
623	Lhel	-0.777665472	0.127667743	5-Oxoavermectin_''2b''_aglycone
623	Lmel	-1.537126409	0.222741176	5-Oxoavermectin_''2b''_aglycone
623	Lapi	-1.958388653	0.085806361	5-Oxoavermectin_''2b''_aglycone
623	Lkul	-1.315889919	0.074059405	5-Oxoavermectin_''2b''_aglycone
624	Lhel	-0.489576293	0.094239315	Pheophorbide_a
624	Lmel	-1.17121612	0.160383345	Pheophorbide_a
624	Lapi	-1.315160869	0.07291785	Pheophorbide_a
624	Lkul	-0.796751906	0.062796818	Pheophorbide_a
625	Lhel	-0.061597463	0.106919296	Isoorientin_2''-O-rhamnoside;_Vitexin_2''-O-beta-D-glucoside;_Isovitexin_2'...
625	Lmel	-4.607702653	0.20164642	Isoorientin_2''-O-rhamnoside;_Vitexin_2''-O-beta-D-glucoside;_Isovitexin_2'...
625	Lapi	-4.590675743	0.288273291	Isoorientin_2''-O-rhamnoside;_Vitexin_2''-O-beta-D-glucoside;_Isovitexin_2'...
625	Lkul	-1.505255874	0.125315251	Isoorientin_2''-O-rhamnoside;_Vitexin_2''-O-beta-D-glucoside;_Isovitexin_2'...
627	Lhel	-0.514406308	0.061737495	Irinotecan_carboxylate
627	Lmel	-0.823759435	0.096050272	Irinotecan_carboxylate
627	Lapi	-1.025850909	0.130561075	Irinotecan_carboxylate
627	Lkul	-0.701514136	0.117563134	Irinotecan_carboxylate
629	Lhel	0.35400885	0.162821477	UDP-N-acetyl-alpha-D-glucosamine;_UDP-N-acetyl-D-galactosamine;_UDP-N-acety...
629	Lmel	1.142358035	0.06339973	UDP-N-acetyl-alpha-D-glucosamine;_UDP-N-acetyl-D-galactosamine;_UDP-N-acety...
629	Lapi	0.35197893	0.147545436	UDP-N-acetyl-alpha-D-glucosamine;_UDP-N-acetyl-D-galactosamine;_UDP-N-acety...
629	Lkul	0.323630777	0.131770016	UDP-N-acetyl-alpha-D-glucosamine;_UDP-N-acetyl-D-galactosamine;_UDP-N-acety...
630	Lhel	0.008751262	0.106907527	Rutin;_Lucenin-2;_Kaempferol_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside;_K...
630	Lmel	-2.228035372	0.14170725	Rutin;_Lucenin-2;_Kaempferol_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside;_K...
630	Lapi	-0.757716021	0.154601368	Rutin;_Lucenin-2;_Kaempferol_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside;_K...
630	Lkul	-0.553407549	0.113574746	Rutin;_Lucenin-2;_Kaempferol_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside;_K...
633	Lhel	0.86607826	0.113694192	Quercetin_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
633	Lmel	-3.282528187	0.223581152	Quercetin_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
633	Lapi	0.150272122	0.180660749	Quercetin_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
633	Lkul	0.154091364	0.125978392	Quercetin_3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
635	Lhel	-0.418521777	0.11482339	Aconitine
635	Lmel	-0.906009627	0.097123386	Aconitine
635	Lapi	-1.051843705	0.136234499	Aconitine
635	Lkul	-0.584824452	0.090477279	Aconitine
637	Lhel	-1.444580739	0.086750376	Veratridine;_Bikhaconitine
637	Lmel	-1.925197294	0.180305578	Veratridine;_Bikhaconitine
637	Lapi	-2.023465522	0.089436598	Veratridine;_Bikhaconitine
637	Lkul	-1.704379552	0.093605124	Veratridine;_Bikhaconitine
648	Lhel	-1.321638602	0.115043657	Vinblastine;_Leurosidine;_Vinblastine_sulfate
648	Lmel	-1.115820165	0.199109239	Vinblastine;_Leurosidine;_Vinblastine_sulfate
648	Lapi	-0.828749789	0.079122429	Vinblastine;_Leurosidine;_Vinblastine_sulfate
648	Lkul	-1.102218784	0.123513152	Vinblastine;_Leurosidine;_Vinblastine_sulfate
650	Lhel	-0.778448356	0.295588797	X-206
650	Lmel	-1.337734107	0.245634317	X-206
650	Lapi	-1.100873289	0.266145455	X-206
650	Lkul	-0.696774679	0.387039993	X-206
656	Lhel	-0.425170772	0.307641734	Megalomicin_C2
656	Lmel	-1.075706029	0.202546786	Megalomicin_C2
656	Lapi	-0.815391494	0.329452682	Megalomicin_C2
656	Lkul	-0.442904123	0.338582111	Megalomicin_C2
